"ensembl_gene_id"	"hgnc_symbol"	"entrezgene"
"190"	"ENSG00000280215"	""	NA
"191"	"ENSG00000262481"	"TMEM256-PLSCR3"	NA
"192"	"ENSG00000229442"	"THEMIS3P"	NA
"193"	"ENSG00000225212"	"AKR1B1P6"	NA
"194"	"ENSG00000243766"	"HOTTIP"	NA
"195"	"ENSG00000254334"	""	101929172
"196"	"ENSG00000068781"	"STON1-GTF2A1L"	286749
"197"	"ENSG00000231013"	""	107105282
"198"	"ENSG00000169807"	"PRY2"	442862
"199"	"ENSG00000261401"	""	NA
"200"	"ENSG00000261561"	""	NA
"201"	"ENSG00000237850"	""	NA
"202"	"ENSG00000255839"	""	NA
"203"	"ENSG00000106031"	"HOXA13"	3209
"204"	"ENSG00000160233"	"LRRC3"	81543
"205"	"ENSG00000080293"	"SCTR"	6344
"206"	"ENSG00000213721"	"HMGN2P30"	NA
"207"	"ENSG00000235868"	"GAPDHP31"	NA
"208"	"ENSG00000280346"	""	NA
"209"	"ENSG00000163508"	"EOMES"	8320
"210"	"ENSG00000279226"	""	NA
"211"	"ENSG00000278927"	""	NA
"212"	"ENSG00000117118"	"SDHB"	6390
"213"	"ENSG00000240687"	""	NA
"214"	"ENSG00000227212"	"PFN1P6"	NA
"215"	"ENSG00000244260"	""	NA
"216"	"ENSG00000215296"	"TMCO5B"	NA
"217"	"ENSG00000278216"	"UGT2A3"	79799
"218"	"ENSG00000273529"	"HES5"	388585
"219"	"ENSG00000099860"	"GADD45B"	4616
"220"	"ENSG00000232978"	""	NA
"221"	"ENSG00000255993"	"PSMC1P9"	NA
"222"	"ENSG00000255648"	""	NA
"223"	"ENSG00000139151"	"PLCZ1"	89869
"224"	"ENSG00000168546"	"GFRA2"	2675
"225"	"ENSG00000272842"	""	NA
"226"	"ENSG00000205544"	"TMEM256"	254863
"227"	"ENSG00000226578"	""	NA
"228"	"ENSG00000111247"	"RAD51AP1"	10635
"229"	"ENSG00000260137"	""	NA
"230"	"ENSG00000228828"	"TLK2P2"	NA
"231"	"ENSG00000137145"	"DENND4C"	55667
"232"	"ENSG00000236514"	""	NA
"233"	"ENSG00000225192"	"ZNF33BP1"	NA
"234"	"ENSG00000236333"	"TRHDE-AS1"	NA
"235"	"ENSG00000214660"	"SLC29A4P2"	NA
"236"	"ENSG00000278703"	""	NA
"237"	"ENSG00000230916"	"MTCO1P53"	NA
"238"	"ENSG00000237633"	""	NA
"239"	"ENSG00000231501"	"MTND4LP1"	NA
"240"	"ENSG00000186136"	"TAS2R42"	353164
"241"	"ENSG00000266995"	""	NA
"242"	"ENSG00000260840"	"LINC01964"	100996478
"243"	"ENSG00000161180"	"CCDC116"	164592
"244"	"ENSG00000256657"	""	NA
"245"	"ENSG00000122543"	"OCM"	654231
"246"	"ENSG00000275119"	""	NA
"247"	"ENSG00000232177"	"MTND4P24"	NA
"248"	"ENSG00000139287"	"TPH2"	121278
"249"	"ENSG00000241923"	"RPL14P3"	NA
"250"	"ENSG00000223566"	"TNRC18P2"	NA
"251"	"ENSG00000235463"	""	NA
"252"	"ENSG00000153130"	"SCOC"	60592
"253"	"ENSG00000274901"	""	NA
"254"	"ENSG00000198889"	"DCAF12L1"	139170
"255"	"ENSG00000275576"	""	NA
"256"	"ENSG00000187838"	"PLSCR3"	57048
"257"	"ENSG00000225787"	"LSM3P3"	NA
"258"	"ENSG00000255071"	"SAA2-SAA4"	100528017
"259"	"ENSG00000273342"	""	NA
"260"	"ENSG00000277177"	"LILRA6"	79168
"261"	"ENSG00000181126"	"HLA-V"	352962
"262"	"ENSG00000234135"	"RPL23AP83"	NA
"263"	"ENSG00000179813"	"FAM216B"	144809
"264"	"ENSG00000227933"	""	NA
"265"	"ENSG00000128228"	"SDF2L1"	23753
"266"	"ENSG00000102349"	"KLF8"	11279
"267"	"ENSG00000107140"	"TESK1"	7016
"268"	"ENSG00000240960"	""	NA
"269"	"ENSG00000250516"	""	NA
"270"	"ENSG00000259474"	""	NA
"271"	"ENSG00000236867"	""	NA
"272"	"ENSG00000261814"	"HLA-P"	NA
"273"	"ENSG00000226955"	""	NA
"274"	"ENSG00000148965"	"SAA4"	6291
"275"	"ENSG00000231552"	"IGBP1P3"	NA
"276"	"ENSG00000176998"	"HCG4"	NA
"277"	"ENSG00000237676"	"RPL30P4"	NA
"278"	"ENSG00000238141"	"BRWD1-AS1"	100874093
"279"	"ENSG00000253308"	""	NA
"280"	"ENSG00000206418"	"RAB12"	201475
"281"	"ENSG00000281189"	"GHET1"	102723099
"282"	"ENSG00000226414"	"MTCYBP38"	NA
"283"	"ENSG00000230785"	""	NA
"284"	"ENSG00000232608"	"TIMM9P2"	NA
"285"	"ENSG00000259446"	""	101928134
"286"	"ENSG00000272991"	""	NA
"287"	"ENSG00000254642"	"COX6CP5"	NA
"288"	"ENSG00000170262"	"MRAP"	56246
"289"	"ENSG00000271216"	"LINC01050"	103689845
"290"	"ENSG00000229623"	"METTL21AP1"	NA
"291"	"ENSG00000175390"	"EIF3F"	8665
"292"	"ENSG00000261548"	"HLA-P"	NA
"293"	"ENSG00000227646"	"STEAP2-AS1"	100874100
"294"	"ENSG00000230605"	"MTCYBP6"	NA
"295"	"ENSG00000226558"	""	NA
"296"	"ENSG00000224042"	"MTND4P6"	NA
"297"	"ENSG00000220614"	""	NA
"298"	"ENSG00000226915"	""	NA
"299"	"ENSG00000179157"	"RPS2P28"	NA
"300"	"ENSG00000229546"	"LINC00428"	NA
"301"	"ENSG00000253457"	"SMIM18"	100507341
"302"	"ENSG00000185658"	"BRWD1"	54014
"303"	"ENSG00000164647"	"STEAP1"	26872
"304"	"ENSG00000205730"	"ITPRIPL2"	162073
"305"	"ENSG00000271435"	""	NA
"306"	"ENSG00000240731"	""	NA
"307"	"ENSG00000219222"	"RPL12P47"	NA
"308"	"ENSG00000227030"	"RPL7AP7"	NA
"309"	"ENSG00000250264"	""	NA
"310"	"ENSG00000224352"	""	NA
"311"	"ENSG00000226589"	"VARS"	7407
"312"	"ENSG00000205221"	"VIT"	5212
"313"	"ENSG00000171467"	"ZNF318"	24149
"314"	"ENSG00000183631"	"PRR32"	100130613
"315"	"ENSG00000253405"	"EVX1-AS"	101410536
"316"	"ENSG00000277880"	"TRBV17"	NA
"317"	"ENSG00000231785"	"MICC"	NA
"318"	"ENSG00000241106"	"HLA-DOB"	3112
"319"	"ENSG00000213880"	"RPL7AP7"	NA
"320"	"ENSG00000197265"	"GTF2E2"	2961
"321"	"ENSG00000276557"	"TRBV18"	NA
"322"	"ENSG00000106038"	"EVX1"	2128
"323"	"ENSG00000127054"	"INTS11"	54973
"324"	"ENSG00000258115"	""	NA
"325"	"ENSG00000266708"	""	NA
"326"	"ENSG00000257287"	""	NA
"327"	"ENSG00000229647"	"MYOSLID"	105373853
"328"	"ENSG00000225763"	"MICG"	NA
"329"	"ENSG00000211746"	"TRBV19"	NA
"330"	"ENSG00000257723"	"CHCHD3P2"	NA
"331"	"ENSG00000243491"	""	NA
"332"	"ENSG00000230538"	""	NA
"333"	"ENSG00000279566"	"ZNF43"	7594
"334"	"ENSG00000213352"	"GAPDHP44"	NA
"335"	"ENSG00000155660"	"PDIA4"	9601
"336"	"ENSG00000111110"	"PPM1H"	57460
"337"	"ENSG00000257366"	""	NA
"338"	"ENSG00000144401"	"METTL21A"	151194
"339"	"ENSG00000131548"	"TTTY6B"	441543
"340"	"ENSG00000232623"	""	NA
"341"	"ENSG00000236951"	""	102725532
"342"	"ENSG00000277518"	"MUC6"	4588
"343"	"ENSG00000226861"	""	NA
"344"	"ENSG00000170989"	"S1PR1"	1901
"345"	"ENSG00000125818"	"PSMF1"	9491
"346"	"ENSG00000228995"	"MTND1P9"	NA
"347"	"ENSG00000142207"	"URB1"	9875
"348"	"ENSG00000256222"	"MTRNR2L3"	100462983
"349"	"ENSG00000112812"	"PRSS16"	10279
"350"	"ENSG00000281734"	""	NA
"351"	"ENSG00000101146"	"RAE1"	8480
"352"	"ENSG00000255328"	""	NA
"353"	"ENSG00000270105"	""	NA
"354"	"ENSG00000251661"	""	NA
"355"	"ENSG00000197870"	"PRB3"	5544
"356"	"ENSG00000270030"	""	NA
"357"	"ENSG00000142089"	"IFITM3"	10410
"358"	"ENSG00000002586"	"CD99"	4267
"359"	"ENSG00000224675"	""	NA
"360"	"ENSG00000272516"	""	NA
"361"	"ENSG00000230251"	"PHBP4"	NA
"362"	"ENSG00000271981"	""	NA
"363"	"ENSG00000162992"	"NEUROD1"	4760
"364"	"ENSG00000237042"	"MICG"	NA
"365"	"ENSG00000236264"	"RPL26P30"	NA
"366"	"ENSG00000144278"	"GALNT13"	114805
"367"	"ENSG00000248635"	""	NA
"368"	"ENSG00000238184"	"CD81-AS1"	101927682
"369"	"ENSG00000272366"	""	NA
"370"	"ENSG00000018610"	"CXorf56"	63932
"371"	"ENSG00000239995"	"TPT1P11"	NA
"372"	"ENSG00000237051"	"GABBR1"	2550
"373"	"ENSG00000279956"	""	NA
"374"	"ENSG00000237464"	""	NA
"375"	"ENSG00000250376"	""	NA
"376"	"ENSG00000249754"	"NDUFB4P9"	NA
"377"	"ENSG00000255089"	""	NA
"378"	"ENSG00000226401"	""	NA
"379"	"ENSG00000196951"	"SCOC-AS1"	100129858
"380"	"ENSG00000110651"	"CD81"	975
"381"	"ENSG00000226411"	""	NA
"382"	"ENSG00000242441"	"GTF2A1L"	11036
"383"	"ENSG00000241941"	"RPL32P26"	NA
"384"	"ENSG00000115232"	"ITGA4"	3676
"385"	"ENSG00000242285"	"RPL6P8"	NA
"386"	"ENSG00000100023"	"PPIL2"	23759
"387"	"ENSG00000230657"	"PRB4"	5545
"388"	"ENSG00000179674"	"ARL14"	80117
"389"	"ENSG00000232825"	""	100129620
"390"	"ENSG00000117598"	"PLPPR5"	163404
"391"	"ENSG00000169877"	"AHSP"	51327
"392"	"ENSG00000253112"	""	NA
"393"	"ENSG00000146215"	"CRIP3"	401262
"394"	"ENSG00000257681"	""	NA
"395"	"ENSG00000174697"	"LEP"	3952
"396"	"ENSG00000257766"	""	NA
"397"	"ENSG00000073910"	"FRY"	10129
"398"	"ENSG00000233056"	"ERVH48-1"	NA
"399"	"ENSG00000232306"	""	NA
"400"	"ENSG00000257737"	""	NA
"401"	"ENSG00000225057"	""	NA
"402"	"ENSG00000117115"	"PADI2"	11240
"403"	"ENSG00000136011"	"STAB2"	55576
"404"	"ENSG00000132326"	"PER2"	8864
"405"	"ENSG00000136718"	"IMP4"	92856
"406"	"ENSG00000224100"	""	NA
"407"	"ENSG00000249896"	"LINC02495"	NA
"408"	"ENSG00000271466"	"CICP24"	NA
"409"	"ENSG00000273402"	""	NA
"410"	"ENSG00000251408"	""	NA
"411"	"ENSG00000272812"	""	NA
"412"	"ENSG00000260572"	""	NA
"413"	"ENSG00000281610"	"HSP90AA4P"	NA
"414"	"ENSG00000139574"	"NPFF"	8620
"415"	"ENSG00000272915"	""	NA
"416"	"ENSG00000280513"	""	101928971
